noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
penyakit	perasaan	0.36
penyakit	pelajaran	0.25
penyakit	ruangan	0.25
penyakit	peningkatan	0.37
penyakit	saluran	0.34
penyakit	aliran	0.33
penyakit	laporan	0.27
penyakit	pemilihan	0.25
penyakit	kemenangan	0.25
penyakit	pernikahan	0.29
penyakit	catatan	0.2
penyakit	pertemuan	0.23
penyakit	penjualan	0.27
penyakit	kesalahan	0.38
penyakit	pandangan	0.33
penyakit	lapangan	0.2
penyakit	perbuatan	0.39
penyakit	keinginan	0.28
penyakit	jabatan	0.22
penyakit	penampilan	0.29
penyakit	aturan	0.23
penyakit	harapan	0.29
penyakit	perencanaan	0.29
penyakit	latihan	0.26
penyakit	peralatan	0.28
penyakit	penjelasan	0.31
penyakit	kepercayaan	0.3
penyakit	peraturan	0.24
penyakit	kebiasaan	0.38
penyakit	permasalahan	0.5
penyakit	pemikiran	0.33
penyakit	ajaran	0.28
penyakit	permintaan	0.25
penyakit	kebenaran	0.28
penyakit	pemahaman	0.34
penyakit	pernyataan	0.26
penyakit	kebudayaan	0.32
penyakit	perjanjian	0.24
penyakit	campuran	0.29
penyakit	pertempuran	0.3
penyakit	pendekatan	0.29
penyakit	pelatihan	0.27
penyakit	sebutan	0.23
penyakit	petunjuk	0.22
penyakit	ketinggian	0.22
penyakit	kebaikan	0.31
penyakit	hukuman	0.34
penyakit	ujian	0.29
penyakit	perguruan	0.25
penyakit	perjuangan	0.3
penyakit	kejahatan	0.43
penyakit	masakan	0.37
penyakit	ketentuan	0.22
penyakit	kewajiban	0.27
penyakit	pengelolaan	0.35
penyakit	kemajuan	0.36
penyakit	penawaran	0.2
penyakit	rekaman	0.2
penyakit	persoalan	0.46
penyakit	jurusan	0.21
penyakit	satuan	0.19
penyakit	peringatan	0.27
penyakit	kenyataan	0.33
penyakit	kecelakaan	0.41
penyakit	ikatan	0.28
penyakit	kekerasan	0.34
penyakit	keyakinan	0.34
penyakit	kesadaran	0.34
penyakit	tantangan	0.32
penyakit	panggilan	0.21
penyakit	gambaran	0.32
penyakit	pemandangan	0.28
penyakit	potongan	0.18
penyakit	ancaman	0.47
penyakit	rangkaian	0.25
penyakit	kunjungan	0.24
penyakit	keberhasilan	0.33
penyakit	kebebasan	0.22
penyakit	keindahan	0.32
penyakit	perbatasan	0.26
penyakit	pertimbangan	0.25
penyakit	kebetulan	0.26
penyakit	persiapan	0.3
penyakit	harian	0.15
penyakit	pembicaraan	0.24
penyakit	ucapan	0.21
penyakit	pelabuhan	0.28
penyakit	pertunjukan	0.24
penyakit	pengadilan	0.17
