noun_w_ekor	noun_w_orang	cossim
pejuang	pembuat	0.29
pejuang	penjual	0.31
pejuang	pengganti	0.25
pejuang	perwakilan	0.3
pejuang	lulusan	0.28
pejuang	pembeli	0.26
pejuang	penerima	0.31
pejuang	pergerakan	0.46
pejuang	pemegang	0.28
pejuang	penyedia	0.28
pejuang	penjaga	0.36
pejuang	pencari	0.34
pejuang	pembawa	0.3
pejuang	undangan	0.17
pejuang	cadangan	0.24
pejuang	pemeran	0.39
pejuang	bangsawan	0.38
pejuang	pembantu	0.3
pejuang	pengarang	0.37
pejuang	pengelola	0.28
pejuang	tahanan	0.39
pejuang	pengikut	0.35
pejuang	rombongan	0.33
pejuang	pengajar	0.39
pejuang	pendidik	0.46
pejuang	penghuni	0.34
pejuang	pengembang	0.35
pejuang	jajaran	0.28
pejuang	pembuka	0.22
pejuang	penari	0.36
pejuang	pemberi	0.26
pejuang	pelayan	0.27
pejuang	pendatang	0.32
pejuang	pembunuh	0.4
pejuang	penyelenggara	0.25
pejuang	turunan	0.22
pejuang	pelukis	0.35
pejuang	utusan	0.29
pejuang	pembiayaan	0.22
pejuang	pengacara	0.39
pejuang	perawat	0.32
pejuang	penganut	0.33
pejuang	pengamat	0.35
pejuang	penghubung	0.29
pejuang	pesaing	0.26
pejuang	pengawas	0.29
pejuang	penjahat	0.43
pejuang	pelaksana	0.27
pejuang	kebangsaan	0.39
pejuang	pembicara	0.29
pejuang	pengantar	0.23
pejuang	pendengar	0.27
pejuang	pendamping	0.36
pejuang	pewaris	0.31
pejuang	pengungsi	0.43
pejuang	pengendara	0.31
pejuang	pencuri	0.27
pejuang	pemburu	0.41
pejuang	pengawal	0.41
pejuang	penemu	0.36
pejuang	pengemudi	0.26
pejuang	penerjemah	0.29
pejuang	pemandu	0.28
pejuang	tawanan	0.46
pejuang	penegak	0.33
pejuang	penutur	0.23
pejuang	penyihir	0.3
pejuang	pelamar	0.24
pejuang	pemasok	0.24
pejuang	penanda	0.22
pejuang	pemikir	0.46
pejuang	saingan	0.26
pejuang	pembimbing	0.25
pejuang	petinggi	0.4
pejuang	pelaut	0.34
pejuang	pengrajin	0.24
pejuang	langganan	0.2
pejuang	pencinta	0.37
pejuang	kenalan	0.23
pejuang	penyidik	0.23
pejuang	pelacur	0.3
pejuang	pengirim	0.25
pejuang	perusak	0.24
pejuang	pendiam	0.23
pejuang	pemeluk	0.33
pejuang	penikmat	0.34
pejuang	pemangku	0.3
pejuang	perampok	0.39
pejuang	pelarian	0.37
pejuang	pengidap	0.26
pejuang	penunjuk	0.27
pejuang	pemuka	0.45
pejuang	pengemis	0.32
pejuang	pemusik	0.31
