noun_w_ekor_noaffix1	noun_w_ekor_noaffix2	cossim
daging	tokek	0.29
daging	garuda	0.23
daging	musang	0.34
daging	keong	0.29
daging	kalkun	0.5
daging	cicak	0.26
daging	gorila	0.21
daging	patin	0.43
daging	tungau	0.23
daging	biawak	0.33
daging	pipit	0.28
daging	semur	0.52
daging	mencit	0.23
daging	bunglon	0.19
daging	belatung	0.4
daging	kancil	0.2
daging	kobra	0.25
daging	kupu	0.14
daging	kerapu	0.34
daging	beo	0.17
daging	kecoak	0.25
daging	cecak	0.32
daging	sanca	0.25
daging	lutung	0.18
daging	rajungan	0.38
daging	nuri	0.13
daging	iguana	0.25
daging	lipan	0.31
daging	celeng	0.45
daging	wader	0.3
daging	beruk	0.31
daging	marmut	0.31
daging	laron	0.16
daging	insekta	0.18
daging	cenderawasih	0.22
daging	kutilang	0.26
daging	kelomang	0.23
daging	pedet	0.31
daging	lipas	0.31
daging	cemani	0.43
daging	bonobo	0.15
daging	tonggeret	0.21
daging	gazelle	0.21
daging	tedong	0.3
daging	pekatik	0.31
daging	tongeret	0.31
ayam	kucing	0.48
ayam	binatang	0.41
ayam	sapi	0.62
ayam	anjing	0.44
ayam	kuda	0.42
ayam	ular	0.35
ayam	jantan	0.48
ayam	betina	0.43
ayam	ternak	0.55
ayam	babi	0.55
ayam	serangga	0.32
ayam	tikus	0.4
ayam	gajah	0.37
ayam	singa	0.32
ayam	domba	0.47
ayam	naga	0.39
ayam	bebek	0.62
ayam	buaya	0.37
ayam	cacing	0.38
ayam	paus	0.24
ayam	nyamuk	0.34
ayam	lebah	0.28
ayam	kutu	0.34
ayam	mamalia	0.23
ayam	hiu	0.29
ayam	harimau	0.39
ayam	kerbau	0.46
ayam	semut	0.3
ayam	beruang	0.28
ayam	monyet	0.36
ayam	lele	0.52
ayam	rusa	0.35
ayam	serigala	0.33
ayam	katak	0.33
ayam	unta	0.38
ayam	kera	0.35
ayam	ulat	0.4
ayam	kepiting	0.43
ayam	kodok	0.38
ayam	penyu	0.33
ayam	elang	0.43
ayam	rubah	0.32
ayam	kadal	0.29
ayam	merpati	0.42
ayam	lembu	0.43
ayam	kelelawar	0.32
ayam	belut	0.42
ayam	bersayap	0.22
ayam	keledai	0.31
ayam	belalang	0.35
ayam	siput	0.3
ayam	angsa	0.43
ayam	banteng	0.39
ayam	jangkrik	0.48
ayam	cupang	0.42
ayam	primata	0.25
ayam	pari	0.29
ayam	gagak	0.35
ayam	biota	0.19
ayam	gurita	0.3
ayam	kijang	0.28
ayam	kecoa	0.27
ayam	simpanse	0.2
ayam	pejantan	0.41
ayam	tupai	0.36
ayam	orangutan	0.35
ayam	ngengat	0.23
ayam	tokek	0.38
ayam	garuda	0.35
ayam	musang	0.38
ayam	keong	0.26
ayam	kalkun	0.58
ayam	cicak	0.39
ayam	gorila	0.27
ayam	patin	0.44
ayam	tungau	0.28
ayam	biawak	0.29
ayam	pipit	0.35
ayam	semur	0.46
ayam	mencit	0.32
ayam	bunglon	0.2
ayam	belatung	0.3
ayam	kancil	0.25
ayam	kobra	0.3
ayam	kupu	0.26
ayam	kerapu	0.33
ayam	beo	0.33
ayam	kecoak	0.28
ayam	cecak	0.38
ayam	sanca	0.28
ayam	lutung	0.36
ayam	rajungan	0.34
ayam	nuri	0.27
ayam	iguana	0.32
ayam	lipan	0.33
ayam	celeng	0.4
ayam	wader	0.32
ayam	beruk	0.33
ayam	marmut	0.36
ayam	laron	0.3
ayam	insekta	0.2
ayam	cenderawasih	0.29
ayam	kutilang	0.4
ayam	kelomang	0.26
ayam	pedet	0.43
ayam	lipas	0.38
ayam	cemani	0.59
ayam	bonobo	0.22
ayam	tonggeret	0.27
ayam	gazelle	0.21
ayam	tedong	0.38
ayam	pekatik	0.38
ayam	tongeret	0.28
kucing	binatang	0.55
kucing	sapi	0.43
kucing	anjing	0.7
kucing	kuda	0.38
kucing	ular	0.43
kucing	jantan	0.41
kucing	betina	0.43
kucing	ternak	0.42
kucing	babi	0.41
kucing	serangga	0.35
kucing	tikus	0.54
kucing	gajah	0.42
kucing	singa	0.42
kucing	domba	0.37
kucing	naga	0.35
kucing	bebek	0.38
kucing	buaya	0.4
kucing	cacing	0.34
kucing	paus	0.25
kucing	nyamuk	0.33
kucing	lebah	0.3
kucing	kutu	0.39
kucing	mamalia	0.35
kucing	hiu	0.37
kucing	harimau	0.5
kucing	kerbau	0.31
kucing	semut	0.34
kucing	beruang	0.45
kucing	monyet	0.46
kucing	lele	0.36
kucing	rusa	0.34
kucing	serigala	0.4
kucing	katak	0.33
kucing	unta	0.39
kucing	kera	0.37
kucing	ulat	0.35
kucing	kepiting	0.32
kucing	kodok	0.39
kucing	penyu	0.35
kucing	elang	0.31
kucing	rubah	0.41
kucing	kadal	0.32
kucing	merpati	0.39
kucing	lembu	0.29
kucing	kelelawar	0.31
kucing	belut	0.3
kucing	bersayap	0.23
kucing	keledai	0.36
kucing	belalang	0.3
kucing	siput	0.33
kucing	angsa	0.35
kucing	banteng	0.31
kucing	jangkrik	0.32
kucing	cupang	0.34
kucing	primata	0.35
kucing	pari	0.22
kucing	gagak	0.33
kucing	biota	0.19
kucing	gurita	0.28
kucing	kijang	0.33
