noun_w_orang_noaffix1	noun_w_orang_noaffix2	cossim
orang	sendiri	0.45
orang	diri	0.49
orang	manusia	0.55
orang	wanita	0.59
orang	anggota	0.59
orang	siswa	0.53
orang	pihak	0.54
orang	pria	0.56
orang	guru	0.52
orang	perempuan	0.58
orang	teman	0.61
orang	warga	0.62
orang	bayi	0.43
orang	mahasiswa	0.5
orang	dokter	0.43
orang	internet	0.36
orang	raja	0.44
orang	rakyat	0.5
orang	ahli	0.48
orang	tokoh	0.5
orang	tenaga	0.41
orang	kaum	0.56
orang	istri	0.5
orang	militer	0.33
orang	gadis	0.51
orang	dewasa	0.52
orang	suami	0.45
orang	calon	0.53
orang	asing	0.49
orang	ayah	0.45
orang	tamu	0.41
orang	remaja	0.49
orang	umat	0.56
orang	mantan	0.47
orang	publik	0.41
orang	korban	0.49
orang	konsumen	0.45
orang	putra	0.43
orang	saudara	0.51
orang	putri	0.4
orang	presiden	0.39
orang	makhluk	0.44
orang	pasien	0.5
orang	polisi	0.41
orang	sobat	0.35
orang	sahabat	0.52
orang	staf	0.31
orang	aktor	0.43
orang	ulama	0.48
orang	artis	0.46
orang	lawan	0.37
orang	kontak	0.35
orang	lelaki	0.58
orang	murid	0.57
orang	ketua	0.4
orang	wakil	0.47
orang	pegawai	0.51
orang	musuh	0.4
orang	adik	0.47
orang	dewa	0.35
orang	mas	0.2
orang	kakak	0.46
orang	produsen	0.36
orang	menteri	0.35
orang	mitra	0.36
orang	raksasa	0.27
orang	blogger	0.45
orang	manajer	0.4
orang	dosen	0.45
orang	sutradara	0.33
orang	buruh	0.38
orang	nenek	0.41
orang	induk	0.3
orang	rekan	0.51
orang	tetangga	0.47
orang	kuasa	0.32
orang	bandar	0.27
orang	malaikat	0.39
orang	gubernur	0.36
orang	prajurit	0.5
orang	admin	0.22
orang	tukang	0.33
orang	user	0.37
orang	operator	0.31
orang	pakar	0.44
orang	wartawan	0.42
orang	pacar	0.43
orang	produser	0.36
orang	senior	0.41
orang	wali	0.43
orang	saksi	0.4
orang	kawan	0.5
orang	hamba	0.45
orang	seniman	0.46
orang	musisi	0.45
orang	hakim	0.4
orang	kaisar	0.32
orang	famili	0.31
orang	pahlawan	0.39
orang	sarjana	0.42
orang	investor	0.43
orang	haji	0.3
orang	perwira	0.46
orang	eksekutif	0.38
orang	budak	0.42
orang	mama	0.32
orang	cucu	0.44
orang	bupati	0.34
orang	nelayan	0.39
orang	hantu	0.34
orang	atlet	0.45
orang	isteri	0.46
orang	leader	0.27
orang	pendeta	0.47
orang	direktur	0.29
orang	formasi	0.23
orang	panitia	0.31
orang	aktivis	0.42
orang	official	0.26
orang	jenderal	0.36
orang	kafir	0.43
orang	pilot	0.33
orang	kandidat	0.42
orang	mayat	0.41
orang	wasit	0.27
orang	balita	0.4
orang	pangeran	0.38
orang	asisten	0.31
orang	responden	0.42
orang	juru	0.26
orang	awak	0.41
orang	distributor	0.26
orang	kakek	0.42
orang	profesor	0.35
orang	komandan	0.37
orang	kerabat	0.51
orang	komunis	0.32
orang	teroris	0.36
orang	leluhur	0.39
orang	arsitek	0.34
orang	politisi	0.45
orang	ratu	0.27
orang	pribumi	0.5
orang	desainer	0.36
orang	kapten	0.31
orang	sekutu	0.36
orang	alumni	0.37
orang	sponsor	0.26
orang	master	0.25
orang	spesialis	0.32
orang	atasan	0.4
orang	santri	0.42
orang	sekretaris	0.3
orang	putera	0.36
orang	kritikus	0.39
orang	abang	0.31
orang	oknum	0.44
orang	konsultan	0.29
orang	player	0.26
orang	filsuf	0.41
orang	turis	0.48
orang	monster	0.24
orang	mahluk	0.41
orang	tante	0.22
orang	bidan	0.28
orang	rasul	0.37
orang	iblis	0.32
orang	janda	0.42
orang	jamaah	0.45
orang	fotografer	0.37
orang	elit	0.38
orang	kader	0.36
orang	waris	0.36
orang	insinyur	0.37
orang	subyek	0.39
orang	dukun	0.37
orang	audit	0.15
orang	kru	0.38
orang	sopir	0.4
orang	duta	0.34
orang	doktor	0.3
orang	bubur	0.23
orang	bocah	0.44
orang	driver	0.27
orang	intelijen	0.26
orang	praktisi	0.39
orang	walikota	0.35
orang	obesitas	0.27
orang	siswi	0.39
orang	finalis	0.29
orang	sultan	0.29
orang	panglima	0.34
orang	imigran	0.44
orang	hacker	0.33
orang	puteri	0.35
orang	optimis	0.31
orang	family	0.26
orang	resepsionis	0.17
orang	bajak	0.28
orang	delegasi	0.36
orang	revolusioner	0.26
orang	developer	0.29
orang	keponakan	0.4
orang	teknisi	0.39
orang	jago	0.3
orang	ninja	0.27
orang	kiper	0.27
orang	propaganda	0.21
orang	nasionalis	0.37
orang	netizen	0.38
orang	mahasiswi	0.37
orang	mempelai	0.42
orang	psikolog	0.4
orang	analis	0.25
orang	donor	0.3
orang	striker	0.25
orang	ekonom	0.35
orang	sufi	0.33
orang	tuna	0.24
orang	supir	0.36
orang	konselor	0.38
orang	diplomat	0.34
orang	ksatria	0.36
orang	dalang	0.3
orang	rektor	0.24
orang	inspeksi	0.16
orang	wirausaha	0.36
orang	majikan	0.37
orang	administrator	0.34
orang	ojek	0.21
orang	general	0.21
orang	kapitalis	0.24
orang	suporter	0.38
orang	alim	0.41
orang	mukmin	0.46
orang	siluman	0.2
orang	suster	0.3
orang	guide	0.22
orang	detektif	0.29
orang	jaksa	0.32
orang	agent	0.23
orang	kolektor	0.34
orang	business	0.21
orang	macan	0.21
orang	elite	0.37
orang	pendekar	0.39
orang	pastor	0.39
orang	sanak	0.47
orang	kontributor	0.33
orang	trader	0.37
orang	preman	0.37
orang	mafia	0.23
orang	direksi	0.29
orang	konduktor	0.21
orang	fasilitator	0.27
orang	miss	0.05
orang	kristen	0.43
orang	partisipan	0.41
orang	bibi	0.29
orang	pramuka	0.26
orang	birokrat	0.38
orang	pensiunan	0.42
orang	anarkis	0.27
orang	mentor	0.36
orang	rias	0.21
orang	botani	0.2
orang	programmer	0.37
orang	designer	0.25
orang	hadirin	0.39
orang	jemaah	0.45
orang	narapidana	0.39
orang	kasir	0.16
orang	panutan	0.38
orang	gerombolan	0.41
orang	biksu	0.38
orang	debitur	0.36
orang	supplier	0.23
orang	diktator	0.28
orang	abdi	0.3
orang	sesepuh	0.37
orang	lesbian	0.28
orang	lurah	0.31
orang	satpam	0.28
orang	kurir	0.26
orang	engineer	0.28
orang	migran	0.37
orang	koruptor	0.33
orang	demonstran	0.32
orang	sandera	0.31
orang	astronot	0.34
orang	serdadu	0.44
orang	martir	0.35
orang	kiai	0.32
orang	pramugari	0.27
orang	motivator	0.35
orang	kesatria	0.34
orang	bendahara	0.3
orang	downline	0.27
orang	perawi	0.38
orang	kuli	0.32
orang	kreditur	0.34
orang	kyai	0.36
orang	biang	0.19
orang	pesimis	0.31
orang	saudagar	0.42
orang	audiens	0.43
orang	dai	0.32
orang	maling	0.34
orang	regulator	0.15
orang	founder	0.17
orang	moderator	0.25
orang	pujangga	0.31
orang	alumnus	0.3
orang	komunikator	0.3
orang	entrepreneur	0.36
orang	redaktur	0.25
orang	separatis	0.26
orang	bujang	0.31
orang	mumi	0.26
orang	independent	0.26
orang	konsul	0.29
orang	tutor	0.27
orang	laskar	0.31
orang	badut	0.19
orang	informan	0.35
orang	mediator	0.25
orang	humas	0.18
orang	psikiater	0.33
orang	otodidak	0.23
orang	cleaning	0.14
orang	indo	0.24
orang	pesepakbola	0.38
orang	filosof	0.35
orang	krama	0.24
orang	brahmana	0.28
orang	simpatisan	0.38
orang	petahana	0.26
orang	musafir	0.39
orang	duda	0.31
orang	eksportir	0.26
orang	guest	0.2
orang	wiraswasta	0.31
orang	nona	0.24
orang	deputi	0.24
orang	buronan	0.26
orang	ateis	0.35
orang	sosiolog	0.33
orang	narator	0.28
orang	maestro	0.23
orang	perompak	0.32
orang	tabib	0.33
orang	konseli	0.31
orang	woman	0.2
orang	punggawa	0.27
orang	firaun	0.3
orang	humanis	0.28
orang	intel	0.23
orang	tameng	0.21
orang	komunikan	0.32
orang	pengamen	0.34
orang	naturalis	0.26
orang	waria	0.26
orang	technical	0.14
orang	marinir	0.29
orang	bandit	0.31
orang	inspektur	0.26
orang	syetan	0.25
orang	pecundang	0.3
orang	borjuis	0.2
orang	pialang	0.33
orang	ekspatriat	0.42
orang	praja	0.28
orang	miliarder	0.38
orang	satria	0.25
orang	laksamana	0.3
orang	maniak	0.32
orang	transmigran	0.35
orang	blasteran	0.22
orang	mujtahid	0.31
orang	tiran	0.25
orang	decision	0.11
orang	sepuh	0.37
orang	resign	0.17
orang	marketer	0.37
orang	prabu	0.17
orang	koboi	0.26
orang	persona	0.26
orang	fighter	0.17
orang	pegiat	0.33
orang	priyayi	0.27
orang	mbok	0.1
orang	agamis	0.26
orang	purnawirawan	0.28
orang	peragawati	0.2
orang	demokrat	0.31
orang	mantri	0.28
orang	syuhada	0.26
orang	sekuriti	0.23
orang	mujahid	0.29
orang	idiot	0.32
orang	demokratik	0.25
orang	salesman	0.32
orang	eyang	0.23
orang	bajingan	0.3
orang	selebritas	0.4
orang	paramedis	0.33
orang	dirigen	0.28
orang	translator	0.19
orang	principal	0.17
orang	panitera	0.3
orang	panelis	0.31
orang	orator	0.27
orang	mursyid	0.22
orang	algojo	0.26
orang	pawang	0.21
orang	sersan	0.19
orang	rentenir	0.18
orang	kompeni	0.3
orang	superstar	0.27
orang	ekstremis	0.36
orang	perjaka	0.35
orang	comic	0.19
orang	jagal	0.2
orang	diva	0.19
orang	modernis	0.22
orang	sipir	0.29
orang	partisan	0.24
orang	patriot	0.3
orang	habib	0.29
orang	materialis	0.32
orang	inovator	0.36
orang	sahaya	0.32
orang	polwan	0.27
orang	mubaligh	0.29
orang	pemrakarsa	0.29
orang	mahasiwa	0.42
orang	observer	0.27
orang	saintis	0.32
orang	akrobatik	0.15
orang	raden	0.2
orang	volunteer	0.25
orang	bintara	0.35
orang	cagub	0.3
orang	kondektur	0.3
orang	opsir	0.3
orang	bodyguard	0.2
orang	negosiator	0.26
orang	agnostik	0.29
orang	angota	0.44
orang	reserse	0.19
orang	teknokrat	0.33
orang	oportunis	0.28
orang	flamboyan	0.2
orang	mucikari	0.24
orang	terperiksa	0.19
orang	biduan	0.19
orang	konstruktivis	0.24
orang	cerpenis	0.31
orang	sinden	0.21
orang	binatu	0.18
orang	kiyai	0.3
orang	romusha	0.25
orang	wapres	0.25
orang	pelayat	0.42
orang	bumiputera	0.38
orang	nyai	0.12
orang	mantu	0.36
orang	bartender	0.19
orang	enterpreneur	0.26
orang	ekstrovert	0.34
orang	formatur	0.19
orang	rohaniawan	0.4
orang	rasionalis	0.39
orang	gigolo	0.24
orang	presidium	0.21
orang	upline	0.25
orang	asesor	0.24
orang	nahkoda	0.26
orang	franchisee	0.26
orang	evaluator	0.3
orang	porter	0.29
orang	sensei	0.2
orang	buzzer	0.19
orang	lover	0.18
orang	sayyid	0.33
orang	keparat	0.32
orang	marsekal	0.3
orang	kontrolir	0.25
orang	mubalig	0.28
orang	organisator	0.28
orang	balerina	0.21
orang	selebgram	0.28
orang	bumiputra	0.38
orang	kopral	0.26
orang	kalifah	0.29
orang	perias	0.28
orang	arsiparis	0.31
orang	gentlemen	0.19
orang	waiter	0.24
orang	loper	0.27
orang	waliyullah	0.34
orang	marxis	0.2
orang	liberalis	0.27
orang	judoka	0.29
orang	businessman	0.37
orang	syaman	0.28
orang	widyaiswara	0.26
orang	learner	0.19
orang	ginekolog	0.23
orang	residivis	0.35
orang	tumenggung	0.21
orang	ketum	0.18
orang	murabbi	0.27
orang	wagub	0.23
orang	vlogger	0.35
orang	kapolda	0.28
orang	kacung	0.26
orang	koleris	0.38
orang	moralis	0.34
orang	propagandis	0.23
orang	voter	0.21
orang	adopter	0.33
orang	inlander	0.27
orang	peresensi	0.36
orang	klinisi	0.33
orang	jongos	0.3
orang	mayoret	0.21
orang	devi	0.14
orang	waskita	0.32
orang	ballerina	0.15
orang	enterpreneurship	0.2
orang	jugun	0.15
orang	mukminah	0.37
orang	teungku	0.23
orang	mandataris	0.21
orang	reformer	0.31
orang	grader	0.27
orang	sekularis	0.32
orang	filosuf	0.34
orang	konservator	0.23
orang	madam	0.22
orang	masbuk	0.23
orang	cendikia	0.37
orang	validator	0.2
orang	terroris	0.31
orang	duchess	0.07
orang	meneer	0.33
orang	godfather	0.26
orang	assessor	0.27
orang	paramedik	0.29
orang	egoistik	0.3
orang	floris	0.23
orang	biduanita	0.3
orang	clairvoyance	0.26
orang	bhiksuni	0.31
orang	evangelist	0.24
orang	gatekeeper	0.23
orang	diktaktor	0.35
orang	ekspat	0.41
orang	inspektor	0.32
orang	superintendent	0.23
orang	foreman	0.28
orang	golfer	0.2
orang	sebatangkara	0.34
orang	herpetolog	0.29
orang	strategist	0.15
orang	selebtwit	0.43
orang	achiever	0.24
orang	hispanik	0.37
orang	ghostwriter	0.3
orang	nulipara	0.35
orang	legalis	0.37
orang	networker	0.35
orang	monetaris	0.2
orang	pamongpraja	0.33
orang	pengibing	0.34
orang	taekwondoin	0.18
orang	paedofil	0.35
orang	campers	0.39
orang	pramusiwi	0.17
orang	wirausahaan	0.33
orang	kooperator	0.29
orang	perempuaan	0.47
orang	markonis	0.3
orang	sadomasokis	0.24
orang	mushalli	0.28
orang	mubayyin	0.12
orang	koder	0.38
orang	laksmana	0.28
orang	nonpartisipan	0.32
orang	kristalografer	0.28
orang	marbut	0.18
orang	snowboarder	0.24
orang	crossline	0.24
orang	murabi	0.28
orang	postrukturalis	0.32
orang	budayan	0.41
orang	penaluk	0.37
orang	propagandais	0.22
orang	khatamul	0.17
orang	controlleur	0.27
sendiri	diri	0.64
sendiri	manusia	0.41
sendiri	wanita	0.3
sendiri	anggota	0.33
sendiri	siswa	0.25
sendiri	pihak	0.33
sendiri	pria	0.24
sendiri	guru	0.28
sendiri	perempuan	0.31
sendiri	teman	0.35
sendiri	warga	0.28
sendiri	bayi	0.28
sendiri	mahasiswa	0.22
sendiri	dokter	0.22
sendiri	internet	0.32
sendiri	raja	0.27
sendiri	rakyat	0.38
sendiri	ahli	0.27
sendiri	tokoh	0.25
sendiri	tenaga	0.28
sendiri	kaum	0.24
sendiri	istri	0.3
sendiri	militer	0.22
sendiri	gadis	0.23
sendiri	dewasa	0.36
sendiri	suami	0.32
sendiri	calon	0.24
sendiri	asing	0.35
sendiri	ayah	0.28
sendiri	tamu	0.26
sendiri	remaja	0.26
sendiri	umat	0.32
sendiri	mantan	0.27
sendiri	publik	0.35
sendiri	korban	0.29
sendiri	konsumen	0.3
sendiri	putra	0.19
sendiri	saudara	0.31
sendiri	putri	0.22
sendiri	presiden	0.29
sendiri	makhluk	0.32
sendiri	pasien	0.27
sendiri	polisi	0.22
sendiri	sobat	0.25
sendiri	sahabat	0.29
sendiri	staf	0.17
sendiri	aktor	0.2
sendiri	ulama	0.18
sendiri	artis	0.23
sendiri	lawan	0.27
sendiri	kontak	0.21
sendiri	lelaki	0.26
sendiri	murid	0.23
sendiri	ketua	0.24
sendiri	wakil	0.3
sendiri	pegawai	0.26
sendiri	musuh	0.31
sendiri	adik	0.26
sendiri	dewa	0.2
sendiri	mas	0.19
sendiri	kakak	0.26
sendiri	produsen	0.27
sendiri	menteri	0.21
sendiri	mitra	0.27
sendiri	raksasa	0.28
sendiri	blogger	0.26
sendiri	manajer	0.21
sendiri	dosen	0.21
sendiri	sutradara	0.19
sendiri	buruh	0.24
sendiri	nenek	0.24
sendiri	induk	0.3
sendiri	rekan	0.29
sendiri	tetangga	0.35
sendiri	kuasa	0.36
sendiri	bandar	0.2
sendiri	malaikat	0.19
sendiri	gubernur	0.22
sendiri	prajurit	0.23
sendiri	admin	0.21
sendiri	tukang	0.22
sendiri	user	0.22
sendiri	operator	0.26
sendiri	pakar	0.23
sendiri	wartawan	0.2
sendiri	pacar	0.27
sendiri	produser	0.26
sendiri	senior	0.23
sendiri	wali	0.21
sendiri	saksi	0.22
sendiri	kawan	0.32
sendiri	hamba	0.29
sendiri	seniman	0.23
sendiri	musisi	0.24
sendiri	hakim	0.25
sendiri	kaisar	0.22
sendiri	famili	0.21
sendiri	pahlawan	0.25
sendiri	sarjana	0.13
sendiri	investor	0.21
sendiri	haji	0.16
sendiri	perwira	0.13
sendiri	eksekutif	0.22
sendiri	budak	0.24
sendiri	mama	0.21
sendiri	cucu	0.24
sendiri	bupati	0.2
sendiri	nelayan	0.17
sendiri	hantu	0.21
sendiri	atlet	0.17
sendiri	isteri	0.29
sendiri	leader	0.22
sendiri	pendeta	0.19
sendiri	direktur	0.21
sendiri	formasi	0.22
sendiri	panitia	0.22
sendiri	aktivis	0.14
sendiri	official	0.26
sendiri	jenderal	0.15
sendiri	kafir	0.27
sendiri	pilot	0.15
sendiri	kandidat	0.21
sendiri	mayat	0.25
sendiri	wasit	0.14
sendiri	balita	0.21
sendiri	pangeran	0.18
sendiri	asisten	0.21
sendiri	responden	0.09
sendiri	juru	0.18
sendiri	awak	0.18
sendiri	distributor	0.21
sendiri	kakek	0.25
sendiri	profesor	0.16
sendiri	komandan	0.2
sendiri	kerabat	0.31
sendiri	komunis	0.24
sendiri	teroris	0.18
sendiri	leluhur	0.29
sendiri	arsitek	0.21
sendiri	politisi	0.17
sendiri	ratu	0.19
sendiri	pribumi	0.25
sendiri	desainer	0.26
sendiri	kapten	0.15
sendiri	sekutu	0.23
sendiri	alumni	0.15
sendiri	sponsor	0.19
sendiri	master	0.18
sendiri	spesialis	0.19
sendiri	atasan	0.3
sendiri	santri	0.19
sendiri	sekretaris	0.18
sendiri	putera	0.17
sendiri	kritikus	0.16
sendiri	abang	0.19
sendiri	oknum	0.2
sendiri	konsultan	0.26
sendiri	player	0.11
sendiri	filsuf	0.16
sendiri	turis	0.15
sendiri	monster	0.18
sendiri	mahluk	0.31
sendiri	tante	0.21
sendiri	bidan	0.17
sendiri	rasul	0.21
sendiri	iblis	0.24
sendiri	janda	0.18
sendiri	jamaah	0.19
sendiri	fotografer	0.18
sendiri	elit	0.22
sendiri	kader	0.21
sendiri	waris	0.21
sendiri	insinyur	0.15
sendiri	subyek	0.34
sendiri	dukun	0.18
sendiri	audit	0.17
sendiri	kru	0.12
sendiri	sopir	0.22
sendiri	duta	0.2
sendiri	doktor	0.19
sendiri	bubur	0.25
sendiri	bocah	0.18
sendiri	driver	0.15
sendiri	intelijen	0.22
sendiri	praktisi	0.21
sendiri	walikota	0.22
sendiri	obesitas	0.16
sendiri	siswi	0.13
sendiri	finalis	0.21
sendiri	sultan	0.17
sendiri	panglima	0.2
sendiri	imigran	0.15
sendiri	hacker	0.15
sendiri	puteri	0.22
sendiri	optimis	0.33
sendiri	family	0.18
sendiri	resepsionis	0.05
sendiri	bajak	0.15
sendiri	delegasi	0.13
sendiri	revolusioner	0.25
sendiri	developer	0.22
sendiri	keponakan	0.22
sendiri	teknisi	0.18
sendiri	jago	0.27
sendiri	ninja	0.11
sendiri	kiper	0.14
sendiri	propaganda	0.19
sendiri	nasionalis	0.22
sendiri	netizen	0.15
sendiri	mahasiswi	0.16
sendiri	mempelai	0.17
sendiri	psikolog	0.2
sendiri	analis	0.14
sendiri	donor	0.19
sendiri	striker	0.12
sendiri	ekonom	0.14
sendiri	sufi	0.14
sendiri	tuna	0.11
sendiri	supir	0.19
sendiri	konselor	0.2
sendiri	diplomat	0.09
sendiri	ksatria	0.16
sendiri	dalang	0.25
sendiri	rektor	0.14
sendiri	inspeksi	0.19
sendiri	wirausaha	0.28
sendiri	majikan	0.25
sendiri	administrator	0.18
sendiri	ojek	0.12
sendiri	general	0.21
sendiri	kapitalis	0.22
sendiri	suporter	0.2
sendiri	alim	0.16
sendiri	mukmin	0.25
sendiri	siluman	0.12
sendiri	suster	0.12
sendiri	guide	0.13
sendiri	detektif	0.18
sendiri	jaksa	0.18
sendiri	agent	0.17
sendiri	kolektor	0.17
sendiri	business	0.15
sendiri	macan	0.16
sendiri	elite	0.2
sendiri	pendekar	0.18
sendiri	pastor	0.11
sendiri	sanak	0.3
sendiri	kontributor	0.22
sendiri	trader	0.16
sendiri	preman	0.15
sendiri	mafia	0.13
sendiri	direksi	0.19
sendiri	konduktor	0.15
sendiri	fasilitator	0.2
sendiri	miss	0.11
sendiri	kristen	0.26
sendiri	partisipan	0.2
sendiri	bibi	0.18
sendiri	pramuka	0.16
sendiri	birokrat	0.18
sendiri	pensiunan	0.18
sendiri	anarkis	0.24
sendiri	mentor	0.25
sendiri	rias	0.18
sendiri	botani	0.15
sendiri	programmer	0.25
sendiri	designer	0.2
sendiri	hadirin	0.18
sendiri	jemaah	0.2
sendiri	narapidana	0.15
sendiri	kasir	0.16
sendiri	panutan	0.25
sendiri	gerombolan	0.13
sendiri	biksu	0.15
sendiri	debitur	0.16
sendiri	supplier	0.22
sendiri	diktator	0.2
sendiri	abdi	0.21
sendiri	sesepuh	0.15
sendiri	lesbian	0.2
sendiri	lurah	0.1
sendiri	satpam	0.14
sendiri	kurir	0.12
sendiri	engineer	0.21
sendiri	migran	0.15
sendiri	koruptor	0.14
sendiri	demonstran	0.07
sendiri	sandera	0.16
sendiri	astronot	0.14
sendiri	serdadu	0.11
sendiri	martir	0.12
sendiri	kiai	0.13
sendiri	pramugari	0.1
sendiri	motivator	0.19
sendiri	kesatria	0.19
sendiri	bendahara	0.21
sendiri	downline	0.24
sendiri	perawi	0.12
sendiri	kuli	0.19
sendiri	kreditur	0.17
sendiri	kyai	0.14
sendiri	biang	0.22
sendiri	pesimis	0.24
sendiri	saudagar	0.17
sendiri	audiens	0.25
sendiri	dai	0.16
sendiri	maling	0.13
sendiri	regulator	0.16
sendiri	founder	0.18
sendiri	moderator	0.22
sendiri	pujangga	0.17
sendiri	alumnus	0.14
sendiri	komunikator	0.14
sendiri	entrepreneur	0.18
sendiri	redaktur	0.19
sendiri	separatis	0.22
sendiri	bujang	0.16
sendiri	mumi	0.13
sendiri	independent	0.35
sendiri	konsul	0.12
sendiri	tutor	0.19
sendiri	laskar	0.14
sendiri	badut	0.14
sendiri	informan	0.19
sendiri	mediator	0.19
sendiri	humas	0.16
sendiri	psikiater	0.15
sendiri	otodidak	0.39
sendiri	cleaning	0.12
sendiri	indo	0.09
sendiri	pesepakbola	0.17
sendiri	filosof	0.13
sendiri	krama	0.15
sendiri	brahmana	0.11
sendiri	simpatisan	0.18
sendiri	petahana	0.26
sendiri	musafir	0.15
sendiri	duda	0.14
sendiri	eksportir	0.13
sendiri	guest	0.12
sendiri	wiraswasta	0.21
sendiri	nona	0.13
sendiri	deputi	0.16
sendiri	buronan	0.11
sendiri	ateis	0.25
sendiri	sosiolog	0.1
sendiri	narator	0.2
sendiri	maestro	0.17
sendiri	perompak	0.12
sendiri	tabib	0.18
sendiri	konseli	0.21
sendiri	woman	0.06
sendiri	punggawa	0.17
sendiri	firaun	0.19
sendiri	humanis	0.19
sendiri	intel	0.12
sendiri	tameng	0.21
sendiri	komunikan	0.17
sendiri	pengamen	0.13
sendiri	naturalis	0.16
sendiri	waria	0.16
sendiri	technical	0.14
sendiri	marinir	0.14
sendiri	bandit	0.12
sendiri	inspektur	0.13
sendiri	syetan	0.18
sendiri	pecundang	0.22
sendiri	borjuis	0.15
sendiri	pialang	0.16
sendiri	ekspatriat	0.18
sendiri	praja	0.17
sendiri	miliarder	0.18
sendiri	satria	0.09
sendiri	laksamana	0.11
sendiri	maniak	0.22
sendiri	transmigran	0.15
sendiri	blasteran	0.1
sendiri	mujtahid	0.2
sendiri	tiran	0.16
sendiri	decision	0.11
sendiri	sepuh	0.16
sendiri	resign	0.24
sendiri	marketer	0.16
sendiri	prabu	0.14
sendiri	koboi	0.13
sendiri	persona	0.29
sendiri	fighter	0.2
sendiri	pegiat	0.1
sendiri	priyayi	0.16
sendiri	mbok	0.15
sendiri	agamis	0.23
sendiri	purnawirawan	0.07
sendiri	peragawati	0.14
sendiri	demokrat	0.17
sendiri	mantri	0.14
sendiri	syuhada	0.09
sendiri	sekuriti	0.18
sendiri	mujahid	0.11
sendiri	idiot	0.17
sendiri	demokratik	0.27
sendiri	salesman	0.13
sendiri	eyang	0.22
sendiri	bajingan	0.18
sendiri	selebritas	0.21
sendiri	paramedis	0.16
sendiri	dirigen	0.21
sendiri	translator	0.17
sendiri	principal	0.15
sendiri	panitera	0.18
sendiri	panelis	0.17
sendiri	orator	0.06
sendiri	mursyid	0.13
sendiri	algojo	0.12
sendiri	pawang	0.1
sendiri	sersan	0.07
sendiri	rentenir	0.08
sendiri	kompeni	0.2
sendiri	superstar	0.18
sendiri	ekstremis	0.27
sendiri	perjaka	0.17
sendiri	comic	0.13
sendiri	jagal	0.23
sendiri	diva	0.12
sendiri	modernis	0.15
sendiri	sipir	0.14
sendiri	partisan	0.17
sendiri	patriot	0.17
sendiri	habib	0.14
sendiri	materialis	0.17
sendiri	inovator	0.2
sendiri	sahaya	0.22
sendiri	polwan	0.12
sendiri	mubaligh	0.07
sendiri	pemrakarsa	0.19
sendiri	mahasiwa	0.16
sendiri	observer	0.16
sendiri	saintis	0.17
sendiri	akrobatik	0.12
sendiri	raden	0.21
sendiri	volunteer	0.15
sendiri	bintara	0.12
sendiri	cagub	0.18
sendiri	kondektur	0.13
sendiri	opsir	0.03
sendiri	bodyguard	0.13
sendiri	negosiator	0.1
sendiri	agnostik	0.18
sendiri	angota	0.21
sendiri	reserse	0.13
sendiri	teknokrat	0.12
sendiri	oportunis	0.17
sendiri	flamboyan	0.15
sendiri	mucikari	0.11
sendiri	terperiksa	0.22
sendiri	biduan	0.12
sendiri	konstruktivis	0.17
sendiri	cerpenis	0.18
sendiri	sinden	0.05
sendiri	binatu	0.13
sendiri	kiyai	0.14
sendiri	romusha	0.08
sendiri	wapres	0.13
sendiri	pelayat	0.12
sendiri	bumiputera	0.22
sendiri	nyai	0.04
sendiri	mantu	0.2
sendiri	bartender	0.13
sendiri	enterpreneur	0.15
sendiri	ekstrovert	0.27
sendiri	formatur	0.23
sendiri	rohaniawan	0.11
sendiri	rasionalis	0.21
sendiri	gigolo	0.09
sendiri	presidium	0.21
sendiri	upline	0.18
sendiri	asesor	0.14
sendiri	nahkoda	0.11
sendiri	franchisee	0.19
sendiri	evaluator	0.22
sendiri	porter	0.16
sendiri	sensei	0.16
sendiri	buzzer	0.07
sendiri	lover	0.15
sendiri	sayyid	0.12
sendiri	keparat	0.21
sendiri	marsekal	0.12
sendiri	kontrolir	0.1
sendiri	mubalig	0.01
sendiri	organisator	0.17
sendiri	balerina	0.11
sendiri	selebgram	0.15
sendiri	bumiputra	0.22
sendiri	kopral	0.07
sendiri	kalifah	0.2
sendiri	perias	0.19
sendiri	arsiparis	0.13
sendiri	gentlemen	0.08
sendiri	waiter	0.09
sendiri	loper	0.07
sendiri	waliyullah	0.11
sendiri	marxis	0.21
sendiri	liberalis	0.19
sendiri	judoka	0.17
sendiri	businessman	0.17
sendiri	syaman	0.14
sendiri	widyaiswara	0.09
sendiri	learner	0.13
sendiri	ginekolog	0.13
sendiri	residivis	0.19
sendiri	tumenggung	0.12
sendiri	ketum	0.11
sendiri	murabbi	0.18
sendiri	wagub	0.14
sendiri	vlogger	0.18
sendiri	kapolda	0.16
sendiri	kacung	0.16
sendiri	koleris	0.3
sendiri	moralis	0.22
sendiri	propagandis	0.09
sendiri	voter	0.03
sendiri	adopter	0.2
sendiri	inlander	0.12
sendiri	peresensi	0.21
sendiri	klinisi	0.25
sendiri	jongos	0.2
sendiri	mayoret	0.18
sendiri	devi	0.1
sendiri	waskita	0.21
sendiri	ballerina	0.09
sendiri	enterpreneurship	0.18
sendiri	jugun	0.09
sendiri	mukminah	0.17
sendiri	teungku	0.09
sendiri	mandataris	0.12
sendiri	reformer	0.15
sendiri	grader	0.14
sendiri	sekularis	0.23
sendiri	filosuf	0.12
sendiri	konservator	0.17
sendiri	madam	0.19
